Name,Schema,Type,Dataset,DataType,Path
tahoe_yellow_cress_surveys,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.tahoe_yellow_cress_surveys
limebike_pilot_2017,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.limebike_pilot_2017
secchi_measurements,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.secchi_measurements
LandUseCode,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.LandUseCode
LocalPlan_URL,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.LocalPlan_URL
secchi_full_dataset,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.secchi_full_dataset
secchi_summarized,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.secchi_summarized
Tables_with_Descriptions,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Tables_with_Descriptions
Air_Quality,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Air_Quality
Congestion,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Congestion
Periphyton,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Periphyton
Scenic_Corridor,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Scenic_Corridor
Scenic_Viewpoint_OLD,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Scenic_Viewpoint_OLD
NRCS_2007_Soil_Survey,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.NRCS_2007_Soil_Survey
Mooring_Permit_History,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.Mooring_Permit_History
TBLFish_Habitat,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.TBLFish_Habitat
bike_ped_counter_tabular,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.bike_ped_counter_tabular
StateLands,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.StateLands
ThresholdEvaluation_TahoeYellowCress,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_TahoeYellowCress
ThresholdEvaluation_Wildlife,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Wildlife
ThresholdEvaluation_Waterfowl,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Waterfowl
PermissibleUses,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.PermissibleUses
ThresholdEvaluation_PlanAreaNoise,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_PlanAreaNoise
ThresholdEvaluation_ShoreNoise,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_ShoreNoise
ThresholdEvaluation_WinterTrafficVolume,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_WinterTrafficVolume
ThresholdEvaluation_NOX_Emissions,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_NOX_Emissions
ThresholdEvaluation_MidLake_DissolvedNitrogen,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_MidLake_DissolvedNitrogen
ThresholdEvaluation_Stream_CSCI_Index,SDE,Table,,Table,F:\GIS\DB_CONNECT\Tabular.sde\SDE.ThresholdEvaluation_Stream_CSCI_Index
