STOP_ID,MIN_FREQUENCY_MINUTES,AVG_FREQUENCY_MINUTES,ROUTE_COUNT
1003,60.0,60.0,1
1004,60.0,60.0,1
1006,60.0,60.0,1
1009,60.0,60.0,1
1017,60.0,90.0,3
121,60.0,60.0,1
12428,60.0,60.0,1
1733,60.0,60.0,4
1747,60.0,60.0,1
1760,60.0,60.0,5
1948,30.0,45.0,3
1949,30.0,45.0,3
1951,30.0,45.0,3
1952,30.0,45.0,3
1959,30.0,30.0,2
1962,30.0,45.0,3
1983,30.0,30.0,2
1985,30.0,30.0,2
1995,30.0,45.0,3
2000,30.0,30.0,2
2006,30.0,45.0,3
2011,30.0,45.0,3
2012,30.0,30.0,2
2036,30.0,45.0,3
2055,30.0,30.0,2
2085,30.0,45.0,3
2109,30.0,30.0,2
2111,30.0,70.0,4
2133,60.0,60.0,2
2134,60.0,60.0,2
2135,60.0,60.0,2
2136,60.0,60.0,2
2137,60.0,60.0,2
2138,60.0,60.0,2
2139,60.0,60.0,2
2140,60.0,60.0,2
2141,60.0,60.0,2
2142,60.0,60.0,2
2143,60.0,60.0,2
2144,60.0,60.0,2
2145,60.0,60.0,2
2146,60.0,60.0,1
2148,60.0,60.0,1
2149,60.0,60.0,2
2150,60.0,60.0,2
2155,60.0,60.0,1
2157,60.0,60.0,1
2158,60.0,60.0,1
2160,60.0,60.0,2
2161,60.0,60.0,2
2162,60.0,60.0,2
2163,60.0,60.0,1
2164,60.0,60.0,2
2165,60.0,60.0,1
2166,60.0,60.0,2
2167,60.0,60.0,1
2168,60.0,60.0,2
2169,60.0,60.0,2
2171,60.0,60.0,2
2172,60.0,60.0,1
2186,60.0,60.0,1
2187,60.0,60.0,1
2188,60.0,60.0,1
2189,60.0,60.0,1
2190,60.0,60.0,1
2191,60.0,60.0,2
2199,60.0,60.0,2
2201,60.0,60.0,2
2202,60.0,60.0,2
2206,60.0,60.0,2
2207,60.0,60.0,2
2208,60.0,60.0,2
2210,60.0,60.0,2
2211,60.0,60.0,2
2216,60.0,60.0,1
2217,60.0,60.0,1
2218,60.0,60.0,1
2219,60.0,60.0,1
2220,60.0,60.0,2
2225,60.0,60.0,1
2226,60.0,60.0,1
2228,60.0,60.0,1
2229,60.0,60.0,1
2231,60.0,60.0,1
2232,60.0,60.0,1
2233,60.0,60.0,1
2234,60.0,60.0,1
2235,60.0,60.0,1
2236,60.0,60.0,1
2237,60.0,60.0,1
2238,60.0,60.0,1
2239,60.0,60.0,1
224,60.0,60.0,4
2240,60.0,60.0,1
2243,60.0,60.0,2
2244,60.0,60.0,1
2245,60.0,60.0,2
2246,60.0,60.0,1
225,60.0,60.0,4
2250,60.0,60.0,2
2252,60.0,60.0,2
2254,60.0,60.0,2
226,60.0,60.0,3
2265,60.0,60.0,2
2266,60.0,60.0,2
2267,60.0,60.0,2
2268,60.0,60.0,2
2269,60.0,60.0,2
227,60.0,60.0,4
2277,60.0,60.0,2
2278,60.0,60.0,2
228,60.0,60.0,3
2282,60.0,60.0,2
2283,60.0,60.0,1
2284,60.0,60.0,1
2286,60.0,60.0,1
2287,60.0,60.0,1
229,60.0,60.0,4
2290,60.0,60.0,1
2291,60.0,60.0,1
2292,60.0,60.0,1
2295,60.0,60.0,1
2296,60.0,60.0,1
2297,60.0,60.0,1
2298,60.0,60.0,1
2299,60.0,60.0,1
230,60.0,60.0,4
2301,60.0,60.0,1
2302,60.0,60.0,1
231,60.0,60.0,4
232,60.0,60.0,4
233,60.0,60.0,4
234,60.0,60.0,4
2439023,60.0,60.0,1
2439024,60.0,60.0,1
2439026,60.0,60.0,1
2448,60.0,60.0,2
2453,60.0,60.0,2
2455571,60.0,60.0,1
2456258,60.0,60.0,2
2456261,60.0,60.0,2
2456262,60.0,60.0,2
2456263,60.0,60.0,1
2456266,60.0,60.0,1
2456267,60.0,60.0,1
2456268,60.0,60.0,1
2456269,60.0,60.0,1
2456270,60.0,60.0,1
2456271,60.0,60.0,1
2456272,60.0,60.0,1
2456273,60.0,60.0,1
2458,60.0,60.0,2
2459,60.0,60.0,2
2460,60.0,60.0,2
2465,60.0,60.0,2
2466,60.0,60.0,2
2467,60.0,60.0,2
2468,60.0,60.0,2
2469,60.0,60.0,2
2470,60.0,60.0,2
2471,60.0,60.0,2
2472,60.0,60.0,2
2473,60.0,60.0,2
2474,60.0,60.0,2
2478,60.0,60.0,1
2479,60.0,60.0,1
2484227,60.0,60.0,2
2484228,60.0,60.0,2
2484237,60.0,60.0,1
2484239,60.0,60.0,1
300,60.0,60.0,4
301,60.0,60.0,1
302,60.0,60.0,1
303,60.0,60.0,1
304,60.0,60.0,1
305,60.0,60.0,1
306(TART)/1013(TTD),60.0,60.0,1
307,60.0,60.0,1
308(TART)/5038(TTD),60.0,60.0,1
309,60.0,60.0,1
310,60.0,60.0,1
311,60.0,60.0,1
312,60.0,60.0,1
313,60.0,60.0,1
315,60.0,60.0,1
316,60.0,60.0,1
317,60.0,60.0,1
318,60.0,60.0,1
319(TART)/5040(TTD),60.0,60.0,1
320,60.0,60.0,1
321(TART)/1012 (TTD),60.0,60.0,1
322,60.0,60.0,1
323,60.0,60.0,1
324,60.0,60.0,1
325,60.0,60.0,1
326,60.0,60.0,1
327,60.0,60.0,5
4042,30.0,45.0,2
4052,30.0,45.0,2
4068,30.0,45.0,3
4096,30.0,45.0,3
4099,30.0,45.0,3
4105,120.0,120.0,1
4107,120.0,120.0,1
4115,60.0,60.0,1
4141,60.0,60.0,1
4148,60.0,60.0,1
4159,30.0,30.0,2
4163,60.0,60.0,1
4168,60.0,60.0,1
4169,60.0,60.0,1
4170,60.0,60.0,1
4173,30.0,30.0,2
4178,60.0,60.0,1
4181,60.0,60.0,1
4187,60.0,60.0,1
4191,60.0,60.0,1
4200,60.0,60.0,1
4214,60.0,60.0,1
4215,30.0,30.0,2
4217,60.0,60.0,1
4223,30.0,45.0,3
4231,30.0,45.0,3
4271,60.0,90.0,3
4273,60.0,90.0,3
4287,120.0,120.0,1
4292,120.0,120.0,1
4295,60.0,90.0,3
4303,120.0,120.0,1
4328,60.0,60.0,2
4330,60.0,60.0,1
4332,60.0,60.0,1
4335,60.0,60.0,2
4337,60.0,60.0,2
4343,30.0,45.0,3
4354,30.0,45.0,3
4356,30.0,45.0,3
4357,60.0,60.0,1
4377,60.0,60.0,1
4381,60.0,60.0,1
4720,120.0,120.0,2
4722,120.0,120.0,2
4723,120.0,120.0,2
4724,120.0,120.0,1
4729,120.0,120.0,1
4732,120.0,120.0,1
4733,120.0,120.0,1
4734,120.0,120.0,1
4736,120.0,120.0,1
4737,120.0,120.0,1
4738,60.0,60.0,1
4741,120.0,120.0,1
4744,120.0,120.0,2
500,60.0,60.0,2
5001,30.0,45.0,3
5004,30.0,30.0,2
5005,30.0,30.0,2
5006,30.0,30.0,2
5007,30.0,30.0,2
5008,30.0,30.0,2
5009,30.0,45.0,3
5010,30.0,45.0,3
5014,60.0,60.0,1
5015,60.0,60.0,1
5016,60.0,60.0,1
5018,60.0,60.0,1
5019,60.0,60.0,1
5020,60.0,60.0,1
5022,30.0,45.0,3
5023,30.0,45.0,3
5027,120.0,120.0,1
5029,30.0,45.0,3
5037,120.0,120.0,2
5041,30.0,45.0,3
5045,120.0,120.0,1
5049,30.0,30.0,2
505,60.0,60.0,1
5051,120.0,120.0,1
5052,60.0,60.0,1
510,60.0,60.0,2
5121,30.0,45.0,3
758776,60.0,60.0,2
805020,60.0,60.0,1
820285,60.0,60.0,1
