OBJECTID,EventType,EventId,TimeAtSite,DetectionArea,Direction,CameraId,Object1Class,Object2Class,Movement,LocationId,LocationName,Camera_Status,date
15,WWD,67d380ecc5fcf20011e1d59b,1741917948011,Intersection Center,,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-14
16,WWD,67d3816a54bd550011cc65e6,1741918074283,Intersection Center,,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-14
17,WWD,67d3e720c5fcf20011e2165e,1741944112199,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-14
18,WWD,67d4e2b4e879a5001263eb72,1742008516672,West Leg,West,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-15
19,WWD,67d55c31e98ffa001260c97f,1742039617087,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-15
20,WWD,67d8d56be98ffa0012632135,1742267258746,East Leg,West,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-18
21,WWD,67d8da77441dac001245b19a,1742268550998,East Leg,West,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-18
22,WWD,67d94df6441dac001245fa1e,1742298118062,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-18
23,WWD,67d94e6c441dac001245fa68,1742298236135,East Leg,West,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-18
24,WWD,67d9ded3800dab001248eed0,1742335203437,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-18
25,WWD,67da2d971ae98d0011787c77,1742355367711,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-19
26,WWD,67da2d9f93717a0012b4885a,1742355374920,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-19
27,WWD,67db212c93717a0012b52c46,1742417724143,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-19
28,WWD,67db344430bc190012018c04,1742422612049,South Leg,South,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-19
29,WWD,67db85cea90d21001252b8a4,1742443486062,East Leg,West,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-20
30,WWD,67dcedd0cfeb8c00129587f6,1742535648299,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-21
31,WWD,67dcfc2aa90d21001253c097,1742539322773,East Leg,West,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-21
32,WWD,67de73f26f9f07001263dd84,1742635522189,Intersection Center,,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-22
33,WWD,67e05a333610b90012912218,1742760002939,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-23
34,WWD,67e068213610b90012912bf1,1742763569417,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-23
35,WWD,67e06e3b31138300129b8ccf,1742765130699,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-23
36,WWD,67e18b9c31138300129c4a3a,1742838188106,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-24
37,WWD,67e2ee456f9f07001266d79d,1742928980951,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-25
38,WWD,67e2f337cfeb8c0012998e38,1742930247147,West Leg,East,0,,,,6786b290ddb02855b751179d,Hwy 50 at Meyers (roundabout),Permanent,2025-03-25
